,title,spec_list,price,rate,opinion
67,에리제론 올인원 비건 샴푸바 어성초그린 120g,"'모든 모발용', '천연샴푸', '두피샴푸', '샴푸바', '세정력', '풍부한 거품', '저자극', '촉촉함(수분공급)', '트러블케어', '각질케어', '유분제거', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '약산성', '볼륨효과', '모발영양'","19,100원",4.7,"1,318"
68,비욘드 프로페셔널 디펜스 샴푸 600ml,"'지성', '두피샴푸', '세정력', '상쾌함'","19,510원",4.8,"3,595"
69,로더베르 시그니처 퍼퓸 샴푸 미드나잇 메모리 1000ml,"'일반샴푸', '세정력', '풍부한 거품', '향', '저자극', '약산성', '모발영양'","9,900원",4.6,479
70,제이숲 컬러 제이 오로라 보색 샴푸 염색 모발용 퍼플 380ml,"'염색 모발용', '일반샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '약산성', '손상케어'","14,500원",4.5,759
71,끌림글램 아하 바하 파하 백합 샴푸 500ml,"'모든 모발용', '일반샴푸', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '촉촉함(수분공급)', '각질케어', '청량감', '파라벤 프리', '실리콘 프리', '약산성', '모발영양'","7,900원",4.8,468
72,현대약품 마이녹셀 스칼프 인텐시브 샴푸 400ml,"'모든 모발용', '일반샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '촉촉함(수분공급)', '각질케어', '청량감', '볼륨효과', '손상케어', '모발영양'","12,620원",4.6,408
73,네이처리퍼블릭 블랙빈 안티 헤어 로스 샴푸 300ml,"'모든 모발용', '두피샴푸', '모발영양'","8,670원",4.5,"11,452"
74,톤28 머리 감을거리 샴푸바 S21 검은콩 참숯 100g,"'모든 모발용', '일반샴푸', '세정력', '풍부한 거품', '상쾌함', '저자극', '각질케어', '유분제거', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '약산성', '볼륨효과'","8,780원",4.7,"1,230"
75,헤드앤숄더 애플 프레쉬 샴푸 850ml,"'일반샴푸', '비듬케어', '향', '세정력'","5,920원",4.8,"3,835"
76,려 함빛 극손상 앤 영양 샴푸 550ml,"'손상 모발용', '일반샴푸', '세정력', '향', '촉촉함(수분공급)', '약산성', '모발영양'","4,050원",4.8,"1,360"
77,엔씨페트라 리스토어 퓨어 샴푸 1000ml,"'일반샴푸', '세정력', '상쾌함', '저자극', '실리콘 프리', '약산성'","15,900원",4.8,443
78,미쟝센 스킨 케어 퍼퓸 샴푸 페어 앤 프리지아 900ml,"'퍼퓸샴푸', '세정력', '향', '촉촉함(수분공급)'","10,140원",4.8,"1,413"
79,밀킨 큐어올 지루성 두피염 샴푸 500ml,"'건성', '건선/피부염성', '비듬샴푸', '산성샴푸', '두피샴푸', '세정력', '저자극', '트러블케어', '각질케어', '비듬케어', '약산성'","31,000원",4.9,65
80,려 헤리티지 비오틴비타 샴푸 585ml,"'모든 모발용', '일반샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '촉촉함(수분공급)', '각질케어', '유분제거', '실리콘 프리', '비듬케어', '약산성', '모발영양'","13,760원",4.7,"3,545"
81,닥터그루트 힘없는 모발용 샴푸 200ml,"'모든 모발용', '탈모샴푸', '두피샴푸', '세정력', '풍부한 거품', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '볼륨효과'","3,990원",4.6,"1,085"
82,헤어플러스 단백질 본드 샴푸 1000ml,"'건성', '가는 모발용', '염색 모발용', '웨이브 모발용', '손상 모발용', '모든 모발용', '일반샴푸', '산성샴푸', '머릿결개선', '촉촉함(수분공급)', '손상케어', '모발영양'","12,680원",4.7,"5,441"
83,미쟝센 살롱 플러스 클리닉 10 손상 모발용 샴푸 990ml,"'손상 모발용', '일반샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '촉촉함(수분공급)', '약산성', '손상케어', '모발영양'","13,820원",4.8,"1,499"
84,클리어 맨 딥클린 샴푸 650ml,"'지성', '일반샴푸', '세정력', '유분제거', '청량감', '비듬케어'","4,500원",4.7,"1,318"
85,아모스 녹차실감 부드러운 타입 샴푸 500g,"'모든 모발용', '세정력', '저자극', '촉촉함(수분공급)', '실리콘 프리'","13,920원",4.8,795
86,동구밭 올바른 중건성용 샴푸바 100g,"'건성', '가는 모발용', '모든 모발용', '일반샴푸', '천연샴푸', '비듬샴푸', '두피샴푸', '샴푸바', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '촉촉함(수분공급)', '각질케어', '비듬케어', '약산성', '모발영양'","8,490원",4.8,"22,796"
87,닥터시드 슈퍼시드밤 리바이탈라이즈 샴푸 1000ml,"'모든 모발용', '일반샴푸', '천연샴푸', '퍼퓸샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '저자극', '촉촉함(수분공급)', '트러블케어', '약산성', '손상케어'","11,720원",4.6,"21,620"
88,제이숲 딥그린제이 어성초 샴푸 1000ml,"'모든 모발용', '일반샴푸', '탈모샴푸', '천연샴푸', '비듬샴푸', '두피샴푸'","15,900원",4.9,254
89,아로마티카 로즈마리 스칼프 스케일링 샴푸 500ml(리필),"'모든 모발용', '일반샴푸', '세정력', '풍부한 거품', '향', '상쾌함', '촉촉함(수분공급)', '각질케어', '유분제거', '모발영양'","12,780원",4.8,354
90,엘라스틴 실크리페어 시그니처 샴푸 550ml,"'모든 모발용', '일반샴푸', '머릿결개선', '향', '모발영양'","3,990원",4.8,"3,436"
91,TS 쿨샴푸 500g," '풍부한 거품', '상쾌함', '청량감', '실리콘 프리'","9,670원",4.7,"3,793"
92,이스터 스칼프 솔루션 지루성두피염샴푸 500ml,"'건선/피부염성', '비듬샴푸', '산성샴푸', '두피샴푸', '풍부한 거품', '트러블케어', '각질케어', '비듬케어', '약산성'","50,000원",4.8,"3,807"
93,케라시스 샤이닝 데미지 케어 샴푸 4000ml,"'지성', '건성', '민감성', '가는 모발용', '염색 모발용', '웨이브 모발용', '손상 모발용', '모든 모발용', '일반샴푸', '퍼퓸샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '촉촉함(수분공급)', '각질케어', '유분제거', '청량감', '파라벤 프리', '약산성', '볼륨효과', '손상케어', '모발영양'","9,960원",4.7,"8,003"
94,댄트롤 쿨링 멘톨 탄산수 샴푸 820ml,"'모든 모발용', '일반샴푸', '두피샴푸', '세정력', '상쾌함', '촉촉함(수분공급)', '비듬케어', '모발영양'","3,580원",4.7,"7,198"
95,오가니스트 체리블라썸 샴푸 500ml,"'가는 모발용', '일반샴푸', '촉촉함(수분공급)'","4,970원",4.8,"4,108"
96,아모스 퓨어스마트 샴푸 모이스트 500g,"'모든 모발용', '세정력', '풍부한 거품', '촉촉함(수분공급)', '각질케어', '비듬케어'","8,830원",4.8,819
97,케라시스 데미지 클리닉 샴푸 750ml,"'지성', '건성', '민감성', '가는 모발용', '염색 모발용', '웨이브 모발용', '손상 모발용', '모든 모발용', '일반샴푸', '퍼퓸샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '촉촉함(수분공급)', '유분제거', '청량감', '파라벤 프리', '약산성', '볼륨효과', '손상케어', '모발영양'","2,600원",4.7,"2,249"
98,르네휘테르 포티샤 두피 앤 모근강화 샴푸 200ml,"'두피샴푸', '세정력', '청량감', '약산성', '모발영양'","16,400원",4.7,"2,846"
99,도브 인텐스 리페어 샴푸 680ml,"'손상 모발용', '일반샴푸', '머릿결개선', '모발영양'","3,660원",4.7,"2,762"
100,려 자양윤모 중건성 샴푸 400ml,"'모든 모발용', '두피샴푸', '촉촉함(수분공급)'","4,430원",4.7,"2,021"
101,아베다 인바티 어드밴스드™ 엑스폴리에이팅 샴푸 리치 1000ml,"'건성', '일반샴푸', '두피샴푸', '세정력', '풍부한 거품', '촉촉함(수분공급)', '각질케어', '모발영양'","98,860원",4.8,933
102,폴미첼 티트리 스페셜 샴푸 1000ml,"'지성', '모든 모발용', '일반샴푸', '촉촉함(수분공급)', '비듬케어'","29,870원",4.8,813
103,안달로우 아르간 스템 셀 에이징 디파잉 샴푸 946ml,"'모든 모발용', '일반샴푸', '촉촉함(수분공급)', '파라벤 프리', '실리콘 프리', '약산성', '모발영양'","35,800원",4.7,"1,155"
104,에네스티 믹스베리 단백질 폭탄 샴푸 1000ml,"'모든 모발용', '일반샴푸', '세정력', '풍부한 거품', '향', '상쾌함', '저자극', '촉촉함(수분공급)', '청량감', '실리콘 프리', '약산성', '손상케어', '모발영양'","12,780원",4.7,"1,645"
105,헤드앤숄더 퍼퓸 프레쉬 샴푸 750ml,"'모든 모발용', '세정력', '향', '상쾌함', '유분제거'","7,470원",4.7,"6,892"
106,더블모 어성초 샴푸 1000ml,"'모든 모발용', '비듬케어', '세정력'","5,890원",4.6,"5,590"
107,로레알파리 토탈 리페어 5 리페어링 샴푸 450ml,"'모든 모발용', '일반샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '손상케어'","6,780원",4.8,"1,176"
108,르네휘테르 토뉘시아 플럼핑 샴푸 가는 모발용 600ml,"'가는 모발용', '일반샴푸', '머릿결개선', '세정력', '향', '촉촉함(수분공급)', '실리콘 프리', '볼륨효과', '모발영양'","41,050원",4.7,713
109,닥터포헤어 폴리젠 셀 에너지 샴푸 500ml,"'지성', '건성', '가는 모발용', '모든 모발용', '일반샴푸', '탈모샴푸', '두피샴푸', '머릿결개선', '세정력', '풍부한 거품', '상쾌함', '저자극', '촉촉함(수분공급)', '각질케어', '유분제거', '계면활성제 프리', '파라벤 프리', '실리콘 프리', '약산성', '볼륨효과'","15,140원",4.7,"1,578"
110,LOMA 데일리 샴푸 1000ml,"'모든 모발용', '천연샴푸', '세정력', '상쾌함', '유분제거'","41,310원",4.7,"1,322"
111,알페신 카페인 샴푸 C1 1250ml,"'모든 모발용', '일반샴푸', '실리콘 프리', '모발영양'","36,140원",4.8,577
112,엘라스틴 프로폴리테라 안티에이징 가늘고 힘없는 모발용 샴푸 500ml,"'가는 모발용', '모든 모발용', '일반샴푸', '머릿결개선', '세정력', '모발영양'","7,060원",4.7,376
113,프레시팝 두피 클렌징 모히또 샴푸 500ml,"'모든 모발용', '지성', '청량감', '세정력', '촉촉함(수분공급)'","4,090원",4.8,"21,190"
114,무백 자몽 워터 샴푸 1500ml,"'모든 모발용', '일반샴푸', '세정력', '풍부한 거품', '촉촉함(수분공급)', '파라벤 프리', '실리콘 프리', '약산성'","28,160원",4.8,"2,117"
115,하이앙포레 시크릿 샴푸 1000ml,"'지성', '일반샴푸', '두피샴푸', '세정력', '상쾌함', '트러블케어', '유분제거', '약산성', '볼륨효과'","35,000원",4.8,"1,177"
116,헤드앤숄더 두피 토탈 솔루션 샴푸 시트러스 레몬 750ml,"'모든 모발용', '일반샴푸', '세정력', '풍부한 거품', '향', '상쾌함', '유분제거', '비듬케어', '약산성'","6,750원",4.8,"1,269"
117,동구밭 올바른 지성용 샴푸바 100g,"'지성', '민감성', '모든 모발용', '천연샴푸', '비듬샴푸', '샴푸바', '머릿결개선', '세정력', '풍부한 거품', '저자극', '촉촉함(수분공급)', '유분제거', '계면활성제 프리', '비듬케어', '약산성'","8,490원",4.8,"10,433"
118,에퓨놀 토탈 리페어 지성 민감성 샴푸 500ml,"'지성', '민감성', '가는 모발용', '탈모샴푸', '비듬샴푸', '두피샴푸', '세정력', '풍부한 거품', '향', '저자극', '촉촉함(수분공급)', '각질케어', '유분제거', '비듬케어', '약산성', '모발영양'","25,900원",4.4,"10,793"
119,닥터포헤어 피토테라피 샴푸 750ml x 2개 + 100ml,"'모든 모발용', '일반샴푸', '세정력', '풍부한 거품', '향', '저자극', '계면활성제 프리', '실리콘 프리', '약산성'","31,280원",4.7,"1,088"
120,댕기머리 진기 샴푸 500ml,"'지성', '건성', '민감성', '모든 모발용', '일반샴푸', '탈모샴푸', '한방샴푸', '머릿결개선', '세정력', '풍부한 거품', '향', '상쾌함', '청량감'","12,840원",4.8,"1,118"
121,아로마티카 로즈마리 스칼프 스케일링 샴푸 900ml,"'두피샴푸', '세정력', '향', '저자극', '촉촉함(수분공급)', '각질케어', '모발영양'","20,680원",4.7,"1,525"
122,아베다 인바티 어드밴스드™ 엑스폴리에이팅 샴푸 라이트 1000ml,"'지성', '가는 모발용', '일반샴푸', '두피샴푸', '세정력', '풍부한 거품', '각질케어', '모발영양'","110,810원",4.8,921
123,록시땅 퓨리파잉 프레쉬니스 샴푸 에코 지성 500ml(리필),"'지성', '일반샴푸', '세정력', '상쾌함'","27,220원",4.9,"1,050"
